slug,tour,start,surface,round,winner_id,winner_name,winner_ioc,loser_id,loser_name,loser_ioc,score
2026Centurion2Challenger,atp,2026-06-01,Hard,R16,207907,Arda Azkara,TUR,211409,Guillaume Dalmasso,FRA,7-6(5) 6-2
2026Centurion2Challenger,atp,2026-06-01,Hard,R16,208004,Harold Mayot,FRA,208431,Semen Pankin,RUS,6-3 4-6 6-3
2026Centurion2Challenger,atp,2026-06-01,Hard,R16,208144,Giles Hussey,GBR,209850,Robin Bertrand,FRA,5-7 6-3 6-3
2026Centurion2Challenger,atp,2026-06-01,Hard,R16,209131,Eliakim Coulibaly,CIV,209280,Devin Badenhorst,RSA,6-7(2) 6-3 6-2
2026Centurion2Challenger,atp,2026-06-01,Hard,R16,210513,Tuncay Duran,TUR,209278,Alec Beckley,RSA,6-3 6-4
2026Centurion2Challenger,atp,2026-06-01,Hard,R32,200574,Alexander Donski,BUL,117361,Akira Santillan,AUS,7-5 7-5
2026Centurion2Challenger,atp,2026-06-01,Hard,R32,202475,Philip Henning,RSA,210039,Orel Kimhi,ISR,6-2 6-2
2026Centurion2Challenger,atp,2026-06-01,Hard,R32,207669,Robert Strombachs,LAT,209140,Millen Hurrion,GBR,6-7(5) 6-3 7-6(4)
2026Centurion2Challenger,atp,2026-06-01,Hard,R32,207809,Khololwam Montsi,RSA,123921,Calvin Hemery,FRA,3-6 6-3 7-5
2026Centurion2Challenger,atp,2026-06-01,Hard,R32,207907,Arda Azkara,TUR,207368,Mert Alkaya,TUR,4-6 6-3 6-2
2026Centurion2Challenger,atp,2026-06-01,Hard,R32,208004,Harold Mayot,FRA,126208,Yusuke Takahashi,JPN,7-6(2) 6-7(8) 6-0
2026Centurion2Challenger,atp,2026-06-01,Hard,R32,208144,Giles Hussey,GBR,124154,Sasi Kumar Mukund,IND,7-5 6-2
2026Centurion2Challenger,atp,2026-06-01,Hard,R32,208431,Semen Pankin,RUS,209879,Luc Koenig,GBR,6-3 4-6 6-0
2026Centurion2Challenger,atp,2026-06-01,Hard,R32,208605,Mario Gonzalez Fernandez,ESP,132573,Luca Castelnuovo,SUI,6-4 6-2
2026Centurion2Challenger,atp,2026-06-01,Hard,R32,209131,Eliakim Coulibaly,CIV,106290,Filip Peliwo,POL,6-3 6-1
2026Centurion2Challenger,atp,2026-06-01,Hard,R32,209278,Alec Beckley,RSA,208158,Dominik Palan,CZE,6-3 6-3
2026Centurion2Challenger,atp,2026-06-01,Hard,R32,209280,Devin Badenhorst,RSA,208267,Oscar Weightman,GBR,6-3 6-4
2026Centurion2Challenger,atp,2026-06-01,Hard,R32,209850,Robin Bertrand,FRA,200452,Patrick Zahraj,GER,6-2 6-2
2026Centurion2Challenger,atp,2026-06-01,Hard,R32,210399,Edward Winter,AUS,106168,Sidharth Rawat,IND,6-3 6-2
2026Centurion2Challenger,atp,2026-06-01,Hard,R32,210513,Tuncay Duran,TUR,109303,Stefano Napolitano,ITA,6-7(5) 7-6(2) 3-0 RET
2026Centurion2Challenger,atp,2026-06-01,Hard,R32,211409,Guillaume Dalmasso,FRA,144970,Constantin Bittoun Kouzmine,FRA,6-4 6-3
2026Centurion2Challenger,atp,2026-06-01,Hard,SF,200574,Alexander Donski,BUL,207809,Khololwam Montsi,RSA,4-6 6-4 6-3
2026Centurion2Challenger,atp,2026-06-01,Hard,SF,202475,Philip Henning,RSA,208004,Harold Mayot,FRA,6-1 6-4
2026PerugiaChallenger,atp,2026-06-01,Clay,F,210012,Henrique Rocha,POR,210017,Daniel Merida Aguilar,ESP,7-6(5) 6-3
2026PerugiaChallenger,atp,2026-06-01,Clay,Q1,101495,Miguel Tobon,COL,209983,Mika Brunold,SUI,6-3 6-2
2026PerugiaChallenger,atp,2026-06-01,Clay,Q1,106177,Oriol Roca Batalla,ESP,149267,Andrea Colombo,ITA,6-3 6-2
