rank,player_id,name,elo,hard,clay,grass,updated
140,,Renata Zarazua,1654.0,1624.8,1581.5,1526.6,2026-09-21
141,,Lin Zhu,1650.3,1621.9,1443.2,1540.0,2026-09-21
142,,Celine Naef,1650.2,1642.5,1481.4,1600.4,2026-09-21
143,,Sara Sorribes Tormo,1645.5,1577.5,1631.7,1534.8,2026-09-21
144,,Julieta Pareja,1645.2,1604.3,1543.0,1497.6,2026-09-21
145,,Vendula Valdmannova,1644.2,1623.7,1389.8,1525.4,2026-09-21
146,,Alycia Parks,1643.8,1626.0,1564.2,1485.3,2026-09-21
147,,Martyna Kubka,1642.1,1607.1,1501.6,1583.4,2026-09-21
148,,Rebecca Sramkova,1639.7,1617.0,1579.9,1538.7,2026-09-21
149,,Harriet Dart,1638.2,1625.1,1466.2,1528.9,2026-09-21
150,,Lisa Pigato,1636.0,1629.1,1586.8,1510.5,2026-09-21
151,,Gabriela Andrea Knutson,1633.6,1612.9,1431.3,1545.1,2026-09-21
152,,Oksana Selekhmeteva,1631.9,1632.7,1575.3,1513.4,2026-09-21
153,,Kayla Day,1630.3,1595.5,1562.7,1505.6,2026-09-21
154,,Taylah Preston,1629.8,1620.7,1412.0,1482.4,2026-09-21
155,,Lulu Sun,1629.0,1650.3,1479.2,1519.9,2026-09-21
156,,Lucia Bronzetti,1628.1,1548.8,1616.8,1506.6,2026-09-21
157,,Himeno Sakatsume,1627.0,1600.1,1504.5,1468.2,2026-09-21
158,,Julia Grabher,1626.7,1527.6,1595.5,1398.0,2026-09-21
159,,Moyuka Uchijima,1624.5,1601.6,1593.4,1433.4,2026-09-21
160,,Dalma Galfi,1621.0,1560.8,1610.3,1545.0,2026-09-21
161,,Alevtina Ibragimova,1617.1,1529.5,1596.4,1483.5,2026-09-21
162,,Teodora Kostovic,1616.6,1544.9,1591.9,1565.7,2026-09-21
163,,Jana Kovackova,1614.2,1478.9,1575.2,1482.1,2026-09-21
164,,Carson Branstine,1612.9,1541.2,1568.8,1580.9,2026-09-21
165,,Viktoriya Tomova,1610.3,1575.2,1565.5,1506.0,2026-09-21
166,,Maddison Inglis,1609.8,1586.0,1447.0,1481.5,2026-09-21
167,,Guiomar Maristany Zuleta De Reales,1609.5,1518.1,1588.1,1441.0,2026-09-21
168,,Julia Riera,1607.2,1520.2,1595.2,1472.0,2026-09-21
169,,Beatriz Haddad Maia,1606.9,1575.7,1596.6,1558.3,2026-09-21
170,,Mia Pohankova,1606.4,1601.3,1476.5,1482.3,2026-09-21
171,,Yue Yuan,1602.8,1585.1,1532.8,1466.4,2026-09-21
172,,Andrea Lazaro Garcia,1602.5,1538.1,1575.4,1449.2,2026-09-21
173,,Fiona Crawley,1602.3,1556.3,1387.4,1499.0,2026-09-21
174,,Suzan Lamens,1601.8,1559.9,1547.9,1497.8,2026-09-21
175,,Heather Watson,1601.3,1567.7,1455.8,1522.9,2026-09-21
176,,Emiliana Arango,1598.7,1565.7,1532.1,1466.4,2026-09-21
177,,Elvina Kalieva,1597.8,1567.2,1510.2,1461.3,2026-09-21
178,,Harmony Tan,1596.5,1555.8,1448.6,1574.5,2026-09-21
179,,Dominika Salkova,1596.2,1586.0,1536.9,1427.7,2026-09-21
180,,Hanyu Guo,1596.1,1568.1,1540.3,1458.5,2026-09-21
181,,Anastasiya Soboleva,1595.0,1421.5,1593.4,1433.6,2026-09-21
