player_id,hand,dob,ioc,height
200346,R,19630403,AUS,165
200347,U,19650927,AUS,
200348,R,19620219,AUS,173
200349,U,19580811,USA,
200350,U,19570720,USA,
200351,U,19550124,USA,
200352,R,19570215,RSA,168
200353,U,19560910,USA,
200354,R,19631211,GER,187
200355,R,19550615,USA,165
200356,R,19450624,NED,185
200357,R,19601102,USA,173
200358,R,19530910,USA,
200359,R,19610912,SUI,173
200360,R,19620704,USA,183
200361,R,19460816,HUN,175
200362,R,19630411,AUS,170
200363,R,19610102,SUI,165
200364,R,19570501,USA,173
200365,R,19581128,RSA,162
200366,L,19591130,GER,173
200367,U,19620406,NED,
200368,U,19631208,AUS,
200369,R,19550324,USA,173
200370,U,19640114,FRA,
200371,R,19560720,SLO,160
200372,R,19630613,GER,173
200373,R,19630911,USA,
200374,R,19610727,GER,
200375,L,19611022,USA,175
200376,L,19580122,CZE,
200377,R,19650223,CZE,188
200378,R,19590701,USA,165
200379,R,19570110,USA,170
200380,R,19550522,USA,
200381,R,19650604,USA,168
200382,R,19621124,SUI,
200383,R,19590821,GBR,167
200384,R,19610210,GER,175
200385,U,19560224,AUS,
200386,U,19630920,FRA,
200387,R,19610928,USA,180
200388,R,19570312,USA,
200389,R,19591203,USA,173
200390,R,19610806,USA,
200391,R,19590606,USA,173
200392,R,19600727,GBR,163
200393,R,19590120,USA,165
200394,R,19570501,CAN,
200395,R,19650528,FRA,174
200396,U,19571222,USA,
200397,R,19621212,USA,165
200398,U,19600731,TCH,
200399,L,19620120,RSA,178
200400,R,19521025,USA,168
200401,R,19670214,SUI,173
200402,R,19600929,USA,
200403,R,19640118,USA,173
200404,R,19631116,USA,164
200405,R,19640628,USA,173
200406,U,19610508,BRA,
200407,L,19660602,USA,175
200408,R,19610218,USA,
200409,L,19590328,SUI,
200410,R,19561218,RSA,156
200411,U,19531206,USA,
200412,R,19620925,USA,168
200413,R,19610611,USA,165
200414,R,19690614,GER,175
200415,R,19590915,FRA,167
200416,R,19631210,USA,164
200417,U,19640222,USA,170
200418,U,19650502,GBR,
200419,U,19670324,USA,
200420,U,19601022,USA,
200421,R,19660424,FRA,
200422,U,19651127,ITA,170
200423,R,19671009,CAN,168
200424,R,19641018,JPN,164
200425,R,19631110,FRA,165
200426,U,19660324,AUS,
200427,R,19640528,USA,170
200428,U,19631218,USA,170
200429,L,19650823,AUS,
200430,U,19610214,TCH,
200431,U,19650523,SUI,163
200432,U,19630317,USA,
200433,R,19570928,USA,
200434,U,19630619,USA,
200435,U,19640703,USA,
200436,U,19630911,SWE,
200437,R,19660712,GBR,
200438,U,19660227,USA,
200439,U,19670225,AUS,
200440,R,19671221,USA,
200441,U,19670225,AUS,
200442,R,19660426,HUN,182
200443,L,19640513,GBR,188
200444,L,19620305,USA,
200445,U,19621008,RUS,
200446,R,19670123,AUS,
200447,U,19560807,ARG,
200448,U,19581013,USA,178
200449,U,19650322,GER,
200450,U,19660721,URS,169
200451,R,19620313,RSA,160
200452,U,19660313,DEN,170
200453,R,19630613,SWE,165
200454,U,19660429,GER,
200455,R,19690507,BUL,168
200456,L,19591111,JPN,
200457,U,19680115,TCH,
200458,U,19631220,AUS,
200459,U,19631001,USA,175
200460,U,19581211,CZE,
200461,R,19620714,USA,
200462,L,19650921,NZL,175
200463,L,19551128,USA,180
200464,U,19591031,USA,
200465,R,19651016,USA,
200466,R,19650312,USA,
200467,U,19670912,AUS,
200468,U,19630416,USA,
200469,R,19690922,AUS,176
200470,U,19620611,USA,
200471,U,19620121,USA,
200472,R,19691115,CAN,
200473,R,19650909,USA,
200474,U,19620107,USA,
200475,U,19680808,AUS,
200476,U,19681011,USA,168
200477,U,19590415,USA,
200478,U,19610314,USA,
200479,U,19641226,JPN,163
200480,U,19681114,GER,
200481,U,19681202,RSA,
200482,R,19660302,AUT,
200483,U,19650219,JPN,
200484,R,19700227,BEL,
200485,R,19640410,NED,173
200486,U,19660329,SUI,
200487,R,19660116,SUI,180
200488,U,19680208,AUS,
200489,U,19580124,JPN,
200490,U,19630121,TCH,
200491,U,19680727,GER,176
200492,R,19521124,USA,
200493,U,19610818,NED,
200494,R,19680304,RSA,
200495,U,19680501,JPN,
200496,U,19661218,USA,
200497,R,19650822,CAN,163
200498,R,19690506,AUS,146
200499,U,19690430,AUS,
200500,U,19630515,PER,
200501,U,19671017,USA,
200502,U,19660710,GER,
200503,R,19640207,USA,170
200504,U,19650708,GBR,
200505,R,19700712,AUS,
200506,R,19690529,GER,170
200507,U,19621128,USA,
200508,R,19670506,FRA,
200509,U,19670923,AUS,
200510,U,19670330,NZL,173
200511,U,19670608,NOR,
