player_id,hand,dob,ioc,height
100429,R,19560418,ESP,
100430,R,19560421,AUS,183
100431,R,19560426,IRI,178
100432,R,19560502,CAN,175
100433,R,19560513,NED,
100434,R,19560520,CZE,190
100435,R,19560531,FRA,183
100436,L,19560605,USA,180
100437,R,19560606,SWE,180
100438,R,19560606,ARG,175
100439,R,19560627,USA,
100440,R,19560703,RSA,190
100441,R,19560703,USA,185
100442,R,19560708,ITA,
100443,L,19560830,FRA,183
100444,R,19560904,GER,
100445,R,19560905,USA,188
100446,R,19560919,USA,188
100447,R,19560923,CHI,190
100448,R,19560925,USA,180
100449,R,19561011,CZE,170
100450,R,19561020,FIN,178
100451,R,19561029,USA,
100452,R,19561113,USA,185
100453,R,19561121,URU,185
100454,R,19561130,USA,
100455,R,19561203,GBR,
100456,R,19561205,USA,173
100457,R,19561213,BRA,
100458,R,19561218,PUR,
100459,R,19561222,USA,178
100460,R,19561224,ESP,173
100461,R,19561225,USA,178
100462,R,19561231,USA,
100463,R,19570111,USA,
100464,R,19570115,AUS,
100465,R,19570120,USA,
100466,R,19570127,USA,
100467,R,19570204,USA,183
100468,R,19570220,FRA,185
100469,R,19570222,IND,
100470,R,19570222,ESP,
100471,L,19570223,USA,170
100472,R,19570224,USA,180
100473,R,19570303,USA,
100474,R,19570309,NZL,180
100475,R,19570316,USA,180
100476,R,19570404,GBR,
100477,R,19570406,ITA,183
100478,R,19570407,FRA,185
100479,R,19570417,GER,
100480,R,19570424,CAN,
100481,R,19570425,ESP,178
100482,R,19570507,GER,
100483,R,19570530,FRA,178
100484,R,19570606,USA,
100485,R,19570622,JPN,170
100486,R,19570708,FRA,188
100487,R,19570714,USA,175
100488,R,19570716,USA,
100489,R,19570723,USA,178
100490,R,19570724,CZE,196
100491,R,19570731,USA,
100492,R,19570731,USA,193
100493,R,19570807,USA,193
100494,R,19570809,CAN,
100495,R,19570823,AUS,183
100496,R,19570905,USA,183
100497,R,19570910,SUI,178
100498,R,19570915,GER,
100499,R,19570916,USA,186
100500,R,19570921,GBR,
100501,R,19570926,FRA,180
100502,R,19571017,USA,180
100503,R,19571019,ESP,173
100504,L,19571102,FRA,175
100505,R,19571113,ITA,
100506,R,19571115,USA,
100507,R,19571120,USA,
100508,R,19571120,GER,
100509,R,19571121,FIN,178
100510,R,19571216,ITA,
100511,R,19571218,USA,175
100512,R,19580101,AUT,185
100513,R,19580103,URU,
100514,R,19580103,GER,
100515,R,19580106,ISR,188
100516,R,19580109,GBR,
100517,R,19580113,USA,193
100518,R,19580113,CHI,175
100519,R,19580115,USA,180
100520,R,19580118,USA,180
100521,L,19580120,USA,
100522,R,19580123,USA,193
100523,R,19580125,USA,180
100524,R,19580127,JPN,
100525,R,19580210,FRA,190
100526,R,19580216,ECU,183
100527,R,19580226,GBR,
100528,R,19580226,USA,
100529,R,19580302,USA,185
100530,R,19580308,GER,175
100531,R,19580325,FRA,
100532,R,19580405,USA,175
100533,R,19580414,RSA,
100534,R,19580421,USA,193
100535,R,19580421,USA,190
100536,R,19580424,ESP,175
100537,R,19580504,USA,190
100538,R,19580505,ARG,180
100539,R,19580514,USA,173
100540,R,19580526,USA,178
100541,R,19580531,SWE,
100542,R,19580605,USA,
100543,R,19580610,GER,178
100544,R,19580614,NGR,178
100545,L,19530619,RSA,
100546,R,19580627,USA,178
100547,R,19580627,USA,
100548,R,19580629,BRA,183
100549,R,19580702,USA,
100550,R,19580710,AUS,
100551,L,19580719,AUS,185
100552,R,19580802,GER,
100553,R,19580809,NGR,183
100554,R,19580811,USA,
100555,R,19580816,ARG,185
100556,R,19580820,RSA,183
100557,R,19580911,USA,
100558,R,19580922,USA,
100559,R,19581003,USA,
100560,R,19581011,USA,185
100561,R,19581011,AUS,
100562,R,19581011,USA,185
100563,R,19581014,USA,
100564,R,19581017,USA,196
100565,R,19581018,USA,190
100566,R,19581019,JPN,
100567,R,19581024,USA,198
100568,R,19581029,USA,183
100569,R,19581031,JPN,188
100570,R,19581115,USA,183
100571,R,19581119,USA,
100572,R,19581202,BRA,
100573,R,19581212,USA,185
100574,L,19581226,USA,185
100575,R,19590101,USA,185
100576,R,19590112,USA,
100577,R,19590113,RSA,
100578,R,19590206,RSA,
100579,R,19590208,SUI,180
100580,R,19590209,USA,
100581,L,19590216,USA,180
100582,R,19590228,USA,
100583,R,19590301,USA,
100584,R,19590312,RSA,
100585,L,19590312,USA,185
100586,R,19590315,USA,178
100587,R,19590315,NZL,188
100588,R,19590319,USA,
100589,R,19590323,GER,
100590,R,19590404,USA,
100591,R,19590410,USA,
100592,R,19590410,USA,193
100593,L,19590416,CZE,175
100594,R,19590424,USA,
100595,R,19590424,SWE,183
100596,R,19590428,CAN,
100597,L,19590501,USA,188
100598,R,19590519,GER,183
100599,R,19590525,BEL,185
100600,R,19590528,FRA,175
100601,R,19590606,ESP,173
100602,R,19590608,USA,190
100603,A,19590614,SUI,178
100604,R,19590615,USA,178
100605,R,19590617,AUS,178
100606,R,19590629,USA,188
100607,R,19590702,ARG,185
100608,R,19590702,USA,
100609,R,19590708,HUN,183
100610,R,19590717,ROU,
100611,R,19590718,USA,178
100612,R,19590726,ESP,
100613,R,19590728,USA,
100614,R,19590808,ITA,
